name,hof_class,year_drafted,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Kendall Marshall,0.0,2012,48,14.6,3.0,1.2,3.1,37.1,0.5,1.5,31.5,0.2,0.3,57.1,0.1,0.8,0.9,3.0,0.5,0.1,1.2,4.1
Kennard Winchester,0.0,1990,64,9.5,3.7,1.5,3.8,40.0,0.1,0.3,40.0,0.5,0.7,77.8,0.5,0.5,1.0,0.4,0.3,0.2,0.5,2.7
Kenneth Faried,0.0,2011,46,22.5,10.2,3.9,6.7,58.6,0.0,0.0,0.0,2.4,3.6,66.5,3.1,4.6,7.7,0.8,0.7,1.0,1.2,15.3
Kenny Anderson,0.0,1991,64,17.0,7.0,2.9,7.5,39.0,0.0,0.2,23.1,1.1,1.5,74.5,0.6,1.4,2.0,3.2,1.1,0.1,1.5,6.9
Kenny Battle,0.0,1989,59,12.4,4.1,1.6,2.9,54.7,0.0,0.1,25.0,0.9,1.4,67.1,0.7,1.4,2.1,0.6,0.6,0.2,0.5,5.3
Kenny Fields,0.0,1984,51,10.5,3.8,1.6,3.7,44.0,0.0,0.0,0.0,0.5,0.7,75.0,0.8,0.8,1.6,0.7,0.2,0.2,0.6,3.7
Kenny Gattison,0.0,1986,77,14.3,5.2,1.9,4.0,47.6,0.0,0.0,0.0,1.4,2.2,63.2,1.1,2.4,3.5,0.5,0.3,0.4,1.1,5.9
Kenny Payne,0.0,1989,35,6.2,3.3,1.3,3.1,43.5,0.1,0.3,40.0,0.5,0.5,88.9,0.3,0.4,0.7,0.3,0.2,0.2,0.6,2.3
Kenny Satterfield,0.0,2001,36,15.6,5.3,2.0,5.5,36.7,0.2,0.8,25.9,1.0,1.3,78.3,0.5,1.0,1.4,3.0,0.9,0.0,1.5,5.3
Kenny Smith,0.0,1987,61,35.6,13.8,5.4,11.4,47.7,0.2,0.6,30.8,2.7,3.3,81.9,0.7,1.6,2.3,7.1,1.5,0.1,3.0,15.2
Kenny Thomas,0.0,1999,72,25.0,8.3,2.9,7.4,39.9,0.4,1.7,26.2,1.9,2.9,66.0,2.0,4.0,6.1,1.6,0.8,0.3,1.6,10.0
Kenny Walker,0.0,1986,68,25.3,10.4,4.2,8.5,49.1,0.0,0.1,0.0,2.1,2.7,75.7,1.7,3.2,5.0,1.1,0.7,0.7,1.1,11.8
Kenny Williams,0.0,1990,75,7.0,2.9,1.2,2.4,52.0,0.0,0.0,0.0,0.5,0.7,68.0,0.7,1.0,1.7,0.4,0.1,0.4,0.6,3.7
Kentavious Caldwell-Pope,0.0,2013,80,19.8,5.9,2.3,5.8,39.6,0.7,2.3,31.9,0.6,0.8,77.0,0.5,1.5,2.0,0.7,0.9,0.1,0.3,5.6
Kenyon Martin,0.0,2000,68,33.4,12.0,5.1,11.4,44.5,0.0,0.2,9.1,1.8,2.8,63.0,2.0,5.4,7.4,1.9,1.1,1.7,2.0,14.7
Keon Clark,0.0,1998,28,14.6,3.3,1.3,2.9,45.0,0.0,0.0,0.0,0.8,1.3,56.8,1.3,2.1,3.4,0.4,0.4,1.1,0.8,5.7
Kerry Kittles,0.0,1996,82,36.7,16.4,6.2,14.5,42.6,1.9,5.1,37.7,2.1,2.8,77.1,1.3,2.6,3.9,3.0,1.9,0.4,1.6,15.2
Kevin Brooks,0.0,1991,37,7.3,2.8,1.2,2.6,44.3,0.1,0.3,18.2,0.5,0.6,81.0,0.4,0.7,1.1,0.3,0.2,0.1,0.5,2.4
Kevin Burleson,0.0,2005,39,8.7,1.8,0.6,2.3,25.0,0.3,1.4,18.5,0.4,0.4,94.1,0.1,0.6,0.7,1.2,0.7,0.1,0.6,2.1
Kevin Duckworth,0.0,1986,65,13.5,5.4,2.0,4.2,47.6,0.0,0.0,0.0,1.4,2.1,68.7,1.2,2.3,3.4,0.4,0.3,0.3,1.2,5.9
Kevin Durant,0.0,2007,80,34.6,20.3,7.3,17.1,43.0,0.7,2.6,28.8,4.9,5.6,87.3,0.9,3.5,4.3,2.4,1.0,0.9,2.9,15.6
Kevin Edwards,0.0,1988,79,29.7,13.8,5.9,14.0,42.5,0.1,0.5,27.0,1.8,2.4,74.6,1.1,2.2,3.3,4.4,1.8,0.3,3.1,11.9
Kevin Garnett,1.0,1995,80,28.7,10.4,4.5,9.2,49.1,0.1,0.4,28.6,1.3,1.9,70.5,2.2,4.1,6.3,1.8,1.1,1.6,1.4,14.6
Kevin Johnson,0.0,1987,80,24.0,9.2,3.4,7.5,46.1,0.1,0.3,20.8,2.2,2.6,83.9,0.5,1.9,2.4,5.5,1.3,0.3,1.8,12.3
Kevin Loder,0.0,1981,71,16.0,6.9,2.9,6.3,46.4,0.0,0.2,0.0,1.1,1.5,72.0,1.0,1.8,2.7,1.2,0.5,0.4,1.0,7.1
Kevin Love,0.0,2008,81,25.3,11.1,3.9,8.5,45.9,0.0,0.2,10.5,3.3,4.1,78.9,3.4,5.7,9.1,1.0,0.4,0.6,1.5,15.3
Kevin Lynch,0.0,1991,55,14.9,4.1,1.7,4.1,41.7,0.1,0.1,37.5,0.6,0.8,76.1,0.5,1.0,1.5,1.5,0.7,0.2,0.8,4.6
Kevin Martin,0.0,2004,45,10.1,2.9,1.0,2.6,38.5,0.1,0.6,20.0,0.8,1.2,65.5,0.6,0.6,1.3,0.5,0.4,0.1,0.5,2.6
Kevin McHale,1.0,1980,82,20.1,10.0,4.3,8.1,53.3,0.0,0.0,0.0,1.3,1.9,67.9,1.9,2.5,4.4,0.7,0.3,1.8,1.3,11.4
Kevin McKenna,0.0,1981,36,6.6,1.9,0.8,2.4,32.2,0.0,0.1,0.0,0.3,0.5,64.7,0.5,0.3,0.8,0.4,0.3,0.1,0.6,1.0
Kevin Ollie,0.0,1997,35,12.3,3.5,1.1,2.8,37.8,0.0,0.0,0.0,1.4,2.0,70.0,0.3,0.9,1.1,1.9,0.4,0.0,1.3,3.3
Kevin Pritchard,0.0,1990,62,12.5,3.9,1.4,3.7,38.4,0.1,0.5,16.1,1.0,1.2,80.5,0.3,0.8,1.0,1.3,0.5,0.1,0.9,3.4
Kevin Seraphin,0.0,2010,58,10.9,2.7,1.1,2.5,44.9,0.0,0.0,0.0,0.4,0.5,71.0,1.4,1.2,2.6,0.2,0.3,0.5,0.7,3.9
Kevin Willis,0.0,1984,82,21.8,9.3,3.9,8.4,46.7,0.0,0.1,22.2,1.5,2.2,65.7,2.2,4.2,6.4,0.4,0.4,0.6,1.3,10.6
Keyon Dooling,0.0,2000,76,16.3,5.9,1.9,4.8,40.9,0.4,1.1,35.0,1.6,2.4,69.8,0.1,1.1,1.2,2.3,0.5,0.1,1.2,5.3
Khalid El-Amin,0.0,2000,50,18.7,6.3,2.3,6.2,37.0,0.6,1.7,33.3,1.1,1.4,77.8,0.4,1.2,1.6,2.9,1.0,0.0,1.1,6.5
Khalid Reeves,0.0,1994,67,21.8,9.2,3.1,6.9,44.3,1.0,2.6,39.2,2.1,2.9,71.4,0.8,2.0,2.8,4.3,1.1,0.1,2.0,10.9
Kiki Vandeweghe,0.0,1980,51,27.0,11.5,4.5,10.5,42.6,0.0,0.1,0.0,2.5,3.1,81.8,1.7,3.6,5.3,1.8,0.6,0.5,1.7,11.4
Kim English,0.0,2012,41,9.9,2.9,1.0,2.7,37.5,0.3,1.2,28.0,0.5,0.7,72.4,0.2,0.7,0.9,0.6,0.4,0.1,0.5,2.5
Kirk Hinrich,0.0,2003,76,35.6,12.0,4.2,10.8,38.6,1.9,4.9,39.0,1.8,2.2,80.4,0.6,2.9,3.4,6.8,1.3,0.3,2.7,14.1
Kirk Snyder,0.0,2004,68,13.3,5.0,1.8,4.8,37.2,0.4,1.3,35.3,0.9,1.4,66.7,0.7,1.0,1.8,0.5,0.4,0.3,0.8,3.6
KJ McDaniels,0.0,2014,62,21.8,7.9,2.8,7.0,39.6,0.7,2.4,28.7,1.6,2.1,75.2,1.0,2.2,3.2,1.2,0.7,1.1,1.7,7.6
Klay Thompson,0.0,2011,66,24.4,12.5,4.8,10.9,44.3,1.7,4.1,41.4,1.2,1.4,86.8,0.4,2.1,2.4,2.0,0.7,0.3,1.6,10.2
Kobe Bryant,1.0,1996,71,15.5,7.6,2.5,5.9,41.7,0.7,1.9,37.5,1.9,2.3,81.9,0.7,1.2,1.9,1.3,0.7,0.3,1.6,6.3
Kornel David,0.0,1998,50,18.0,6.2,2.2,4.9,44.9,0.0,0.0,0.0,1.8,2.2,81.1,1.4,2.1,3.5,0.8,0.5,0.3,1.0,7.2
Kosta Koufos,0.0,2008,48,11.8,4.7,2.0,3.9,50.8,0.0,0.0,0.0,0.8,1.1,70.6,1.0,1.8,2.9,0.4,0.3,0.7,0.5,6.1
Kostas Papanikolaou,0.0,2014,43,18.5,4.2,1.6,4.6,35.0,0.7,2.5,29.2,0.3,0.4,72.2,0.9,1.8,2.7,2.0,0.7,0.3,1.3,5.6
Kris Dunn,0.0,2016,33,16.9,4.1,1.5,4.1,37.3,0.3,0.9,29.0,0.8,1.2,62.5,0.4,1.9,2.2,2.4,1.0,0.3,1.2,5.8
Kris Humphries,0.0,2004,67,13.0,4.1,1.7,4.3,40.4,0.0,0.1,33.3,0.7,1.5,43.6,1.1,1.9,2.9,0.6,0.4,0.3,0.8,4.2
Kristaps Porzingis,0.0,2015,72,28.4,14.3,5.2,12.3,42.1,1.1,3.4,33.3,2.8,3.3,83.8,1.8,5.5,7.3,1.3,0.7,1.9,1.7,16.1
Kurt Nimphius,0.0,1981,63,17.2,5.3,2.2,4.7,46.1,0.0,0.0,0.0,1.0,1.7,58.3,1.5,3.2,4.7,1.0,0.3,1.3,0.9,8.4
Kurt Rambis,0.0,1981,64,17.7,4.6,1.8,3.6,51.8,0.0,0.0,0.0,0.9,1.8,50.4,1.8,3.6,5.4,0.9,0.9,1.2,1.2,9.2
Kurt Thomas,0.0,1995,74,22.4,9.0,3.7,7.4,50.1,0.0,0.0,0.0,1.6,2.4,66.3,1.6,4.3,5.9,0.6,0.6,0.5,1.3,10.9
Kwame Brown,0.0,2001,57,14.3,4.5,1.6,4.3,38.7,0.0,0.0,0.0,1.2,1.7,70.7,1.1,2.4,3.5,0.8,0.3,0.5,0.8,5.6
Kyle Anderson,0.0,2014,33,10.8,2.2,0.9,2.7,34.8,0.1,0.3,27.3,0.3,0.4,64.3,0.2,2.0,2.2,0.8,0.5,0.2,0.3,3.7
Kyle Korver,0.0,2003,74,11.9,4.5,1.6,4.4,35.2,1.1,2.8,39.1,0.3,0.3,79.2,0.4,1.1,1.5,0.5,0.3,0.1,0.6,3.5
Kyle Macy,0.0,1980,82,17.9,8.1,3.3,6.5,51.1,0.1,0.6,23.5,1.3,1.5,89.9,0.5,1.1,1.6,2.0,0.9,0.1,1.2,8.2
Kyle O'Quinn,0.0,2012,57,11.2,4.1,1.8,3.5,51.3,0.0,0.0,0.0,0.5,0.8,66.7,1.1,2.5,3.7,0.9,0.2,0.5,0.7,6.7
