,Player,Year,Pick
5407,Kevin Black,1983,201
5408,Bill Varner,1983,202
5409,Gary Gaspard,1983,203
5410,Joe Dykstra,1983,204
5411,John Rice,1983,205
5412,Charles Fisher,1983,206
5413,Mark Smed,1983,207
5414,Jon Hanley,1983,208
5415,Keith Smith,1983,209
5416,Tom Emma,1983,210
5417,Odell Mosteller,1983,211
5418,Michael Zeno,1983,212
5419,Ike Person,1983,213
5420,Clyde Corley,1983,214
5421,Isiah Singletary,1983,215
5422,Ronnie Carr,1983,216
5423,Bernard Randolph,1983,217
5424,Cleveland McCrae,1983,218
5425,Aaron Haskins,1983,219
5426,Russ Christianson,1983,220
5427,David Binion,1983,221
5428,Rich Simkus,1983,222
5429,Bob Kelly,1983,223
5430,Bo Overton,1983,224
5431,Lamar Heard,1983,225
5432,Andy Kupec,1983,226
5433,Hakeem Olajuwon,1984,1
5434,Sam Bowie,1984,2
5435,Michael Jordan,1984,3
5436,Sam Perkins,1984,4
5437,Charles Barkley,1984,5
5438,Melvin Turpin,1984,6
5439,Alvin Robertson,1984,7
5440,Lancaster Gordon,1984,8
5441,Otis Thorpe,1984,9
5442,Leon Wood,1984,10
5443,Kevin Willis,1984,11
5444,Tim McCormick,1984,12
5445,Jay Humphries,1984,13
5446,Michael Cage,1984,14
5447,Terence Stansbury,1984,15
5448,John Stockton,1984,16
5449,Jeff Turner,1984,17
5450,Vern Fleming,1984,18
5451,Bernard Thompson,1984,19
5452,Tony Campbell,1984,20
5453,Kenny Fields,1984,21
5454,Tom Sewell,1984,22
5455,Earl Jones,1984,23
5456,Michael Young,1984,24
5457,Devin Durrant,1984,25
5458,Victor Fleming,1984,26
5459,Ron Anderson,1984,27
5460,Cory Blackwell,1984,28
5461,Stuart Gray,1984,29
5462,Steve Burtt,1984,30
5463,Jay Murphy,1984,31
5464,Eric Turner,1984,32
5465,Steve Colter,1984,33
5466,Tony Costner,1984,34
5467,Othell Wilson,1984,35
5468,Charles Jones,1984,36
5469,Ben Coleman,1984,37
5470,Charlie Sitton,1984,38
5471,Danny Young,1984,39
5472,Anthony Teachey,1984,40
5473,Tom Sluby,1984,41
5474,Willie White,1984,42
5475,Greg Wiltjer,1984,43
5476,Fred Reynolds,1984,44
5477,Gary Plummer,1984,45
5478,Jerome Kersey,1984,46
5479,Ronnie Williams,1984,47
5480,James Banks,1984,48
5481,Tim Dillon,1984,49
5482,Ben McDonald,1984,50
5483,Jim Petersen,1984,51
5484,Terry Williams,1984,52
5485,Ricky Ross,1984,53
5486,Roosevelt Chapman,1984,54
5487,Lewis Jackson,1984,55
5488,Jeff Allen,1984,56
5489,Joe Binion,1984,57
5490,Bobby Parks,1984,58
5491,Murray Jarman,1984,59
5492,Leonard Mitchell,1984,60
5493,Jeff Cross,1984,61
5494,David Pope,1984,62
5495,Yommy Sangodeyi,1984,63
5496,Curtis Green,1984,64
5497,Tim Kearney,1984,65
5498,Kevin Springman,1984,66
5499,Vernon Delancy,1984,67
5500,Butch Graves,1984,68
5501,George Singleton,1984,69
5502,Rick Carlisle,1984,70
5503,Ralph Jackson,1984,71
5504,Melvin Johnson,1984,72
5505,Art Aaron,1984,73
5506,Willie Jackson,1984,74
5507,Marc Glass,1984,75
5508,Jim Grandholm,1984,76
5509,Mark Halsel,1984,77
5510,John Devereaux,1984,78
5511,Karl Tilleman,1984,79
5512,Carl Henry,1984,80
5513,Dickie Beal,1984,81
5514,Jeff Collins,1984,82
5515,Jeff Jenkins,1984,83
5516,John Horrocks,1984,84
5517,Hank Cornley,1984,85
5518,Jim Rowinski,1984,86
5519,Bob Thornton,1984,87
5520,Brett Applegate,1984,88
5521,Phillip Smith,1984,89
5522,Ozell Jones,1984,90
5523,Earl Harrison,1984,91
5524,John Revelli,1984,92
5525,Kevin Mullin,1984,93
5526,Gene Smith,1984,94
5527,Lamont Robinson,1984,95
5528,Vince Hinchen,1984,96
5529,Al McClain,1984,97
5530,Alonza Allen,1984,98
5531,Cohn Irish,1984,99
5532,Eric Richardson,1984,100
5533,Steve Bartek,1984,101
5534,Jim Foster,1984,102
5535,Prince Bridges,1984,103
5536,Terry Martin,1984,104
5537,Bill Flye,1984,105
5538,Eli Pasquale,1984,106
5539,Dave Williams,1984,107
5540,Marcus Gaither,1984,108
5541,Michael Gerren,1984,109
5542,Scott McCollum,1984,110
5543,Mike Whitmarsh,1984,111
5544,Rick Doyle,1984,112
5545,Ernie Floyd,1984,113
5546,Dan Federman,1984,114
5547,Lance Berwald,1984,115
5548,Todd Orlando,1984,116
5549,Clyde Vaughn,1984,117
5550,Jeff Tipton,1984,118
5551,Matt Doherty,1984,119
5552,McKinley Singleton,1984,120
5553,Phillip Haynes,1984,121
5554,Blaise Bugajeski,1984,122
5555,Tony Martin,1984,123
5556,Dion Brown,1984,124
5557,Willie Burton,1984,125
5558,Bruce Vanley,1984,126
5559,Jim Master,1984,127
5560,Herman Veal,1984,128
5561,Graylin Warner,1984,129
5562,LaVerne Evans,1984,130
5563,Oscar Schmidt,1984,131
5564,Chris Harrison,1984,132
5565,Eddie Lee Wilkins,1984,133
5566,Lance Ball,1984,134
5567,Rennie Bailey,1984,135
5568,Mike Reddick,1984,136
5569,Gary Springer,1984,137
5570,Keith Jones,1984,138
5571,Steve Carfino,1984,139
5572,Kenton Edelin,1984,140
5573,Butch Hays,1984,141
5574,Joe Jakubick,1984,142
5575,Joedy Gardner,1984,143
5576,David Brantley,1984,144
5577,Tim Garrett,1984,145
5578,Michael Pitts,1984,146
5579,Cliff Higgins,1984,147
5580,Chip Harris,1984,148
5581,Mark Simpson,1984,149
5582,Vince Martello,1984,150
5583,Raymond Crenshaw,1984,151
5584,Gary Gatewood,1984,152
5585,George Turner,1984,153
5586,Bob Evans,1984,154
5587,Sean Kerins,1984,155
5588,Ken Bannister,1984,156
5589,Victor Anger,1984,157
5590,Barry Francisco,1984,158
5591,Tony William,1984,159
5592,Rich Congo,1984,160
5593,Richard Haenisch,1984,161
5594,Mark Van Valkenburg,1984,162
5595,Tom Heitz,1984,163
5596,Brett Crawford,1984,164
5597,Elliot Beard,1984,165
5598,Greg Wolff,1984,166
5599,Jim McLoughlin,1984,167
5600,Darryl Odom,1984,168
5601,Paul Brozovich,1984,169
5602,Dan Tarkanian,1984,170
5603,Bill Wendlandt,1984,171
5604,Nate Rollins,1984,172
5605,Robert Brown,1984,173
5606,Mark Fothergill,1984,174
5607,Jerry McMillan,1984,175
5608,Leroy Sutton,1984,176
5609,Chris Winans,1984,177
5610,Eric Booker,1984,178
5611,Ricky Tunstall,1984,179
5612,Steve Flint,1984,180
5613,Dale Roberts,1984,181
5614,Brad Jergenson,1984,182
5615,Frank Dobbs,1984,183
5616,Champ Godboldt,1984,184
5617,Brian Martin,1984,185
5618,Calvin Pierce,1984,186
5619,John Shimko,1984,187
5620,Bill Coon,1984,188
5621,Dave Schultz,1984,189
5622,Mike Emanuel,1984,190
5623,Melvin Roseboro,1984,191
5624,Mitch Arnold,1984,192
5625,Greg Turner,1984,193
5626,Cecil Exum,1984,194
5627,Fred Brown,1984,195
5628,Buddy Cox,1984,196
5629,Mike Williams,1984,197
5630,John Tudor,1984,198
5631,Kelly Knight,1984,199
5632,Billy Ryan,1984,200
5633,Marc Marotta,1984,201
5634,Dennis Black,1984,202
5635,Ben Tower,1984,203
5636,Edwin Green,1984,204
5637,Michael Mitchell,1984,205
5638,Joe Dickson,1984,206
5639,Gary Carver,1984,207
5640,Carl Lewis,1984,208
5641,Darrell Space,1984,209
5642,Robert Turner,1984,210
5643,Dick Mumma,1984,211
5644,Glynn Myrick,1984,212
5645,Tim Bell,1984,213
5646,Frank Rodriguez,1984,214
5647,Dexter Bailey,1984,215
5648,Victor Coleman,1984,216
5649,Doug Mills,1984,217
5650,Ezra Hill,1984,218
5651,Greg Brandon,1984,219
5652,Napoleon Johnson,1984,220
5653,Phil Jamison,1984,221
5654,Mike Curran,1984,222
5655,Mike Henderson,1984,223
5656,Randy Dunn,1984,224
5657,Dan Pelekoudas,1984,225
5658,Mike Toomer,1984,226
5659,Martin Clark,1984,227
5660,Dan Trant,1984,228
5661,Patrick Ewing,1985,1
5662,Wayman Tisdale,1985,2
5663,Benoit Benjamin,1985,3
5664,Xavier McDaniel,1985,4
5665,Jon Koncak,1985,5
5666,Joe Kleine,1985,6
5667,Chris Mullin,1985,7
5668,Detlef Schrempf,1985,8
5669,Charles Oakley,1985,9
5670,Ed Pinckney,1985,10
5671,Keith Lee,1985,11
5672,Kenny Green,1985,12
5673,Karl Malone,1985,13
5674,Alfredrick Hughes,1985,14
5675,Blair Rasmussen,1985,15
5676,Bill Wennington,1985,16
5677,Uwe Blab,1985,17
5678,Joe Dumars,1985,18
5679,Steve Harris,1985,19
5680,Sam Vincent,1985,20
5681,Terry Catledge,1985,21
5682,Jerry Reynolds,1985,22
5683,A.C. Green,1985,23
5684,Terry Porter,1985,24
5685,Mike Smrek,1985,25
5686,Bill Martin,1985,26
5687,Dwayne McClain,1985,27
5688,Ken Johnson,1985,28
5689,Mike Brittain,1985,29
5690,Calvin Duncan,1985,30
5691,Manute Bol,1985,31
5692,Nick Vanos,1985,32
5693,Greg Stokes,1985,33
5694,Aubrey Sherrod,1985,34
5695,Tyrone Corbin,1985,35
5696,Yvon Joseph,1985,36
5697,Carey Scurry,1985,37
5698,Fernando Martin,1985,38
5699,George Montgomery,1985,39
5700,Mark Acres,1985,40
5701,Lorenzo Charles,1985,41
5702,Bobby Lee Hurt,1985,42
5703,Barry Stevens,1985,43
5704,Voise Winters,1985,44
5705,Hot Rod Williams,1985,45
5706,Adrian Branch,1985,46
5707,Gerald Wilkins,1985,47
5708,Kenny Patterson,1985,48
5709,Brad Wright,1985,49
5710,Leonard Allen,1985,50
5711,Charles Bradley,1985,51
5712,Anicet Lavodrama,1985,52
5713,Rolando Lamb,1985,53
5714,Sam Mitchell,1985,54
5715,Herb Johnson,1985,55
5716,Jerry Everett,1985,56
5717,Michael Payne,1985,57
5718,Vernon Moore,1985,58
5719,Sedric Toney,1985,59
5720,Andre Goode,1985,60
5721,Perry Young,1985,61
5722,Nigel Manuel,1985,62
5723,Harold Keeling,1985,63
5724,Richie Johnson,1985,64
5725,Ken Perry,1985,65
5726,Michael Adams,1985,66
5727,Steve Black,1985,67
5728,Eugene McDowell,1985,68
5729,Mike Brown,1985,69
5730,Andre Battle,1985,70
5731,Luster Goodwin,1985,71
5732,Vince Hamilton,1985,72
5733,Fred Cofield,1985,73
5734,Jim Deines,1985,74
5735,Alex Stivrins,1985,75
5736,Willie Simmons,1985,76
5737,Arvydas Sabonis,1985,77
5738,Granger Hall,1985,78
5739,Mark Davis,1985,79
5740,Craig Beard,1985,80
5741,Richie Adams,1985,81
5742,Scott Roth,1985,82
5743,Delaney Rudd,1985,83
5744,John Battle,1985,84
5745,Joe Atkinson,1985,85
5746,Bubba Jennings,1985,86
5747,Spud Webb,1985,87
5748,Mike Brooks,1985,88
5749,Pete Williams,1985,89
5750,Derrick Gervin,1985,90
5751,Cozell McQueen,1985,91
5752,Dexter Shouse,1985,92
5753,Cliff Weber,1985,93
5754,Kelvin Johnson,1985,94
5755,Greg Cavener,1985,95
5756,Mike Schlegel,1985,96
5757,Lou Stefanovic,1985,97
5758,Bob Lojewski,1985,98
5759,Wayne Carlander,1985,99
5760,Larry Hampton,1985,100
5761,Gunther Behnke,1985,101
5762,Shawn Campbell,1985,102
5763,Reid Gettys,1985,103
5764,Dean Shaffer,1985,104
5765,Ray Hall,1985,105
5766,Clayton Olivier,1985,106
5767,James Anderson,1985,107
5768,Kelly Blaine,1985,108
5769,Tommy Davis,1985,109
5770,Mike Lahm,1985,110
5771,Ivan Daniels,1985,111
5772,Kenny Brown,1985,112
5773,Carl Wright,1985,113
5774,Ray Knight,1985,114
5775,Timo Saarelainen,1985,115
5776,Albert Butts,1985,116
5777,Gerald Crosby,1985,117
5778,Stu Primus,1985,118
5779,Kent Lockhart,1985,119
5780,Charles Balentine,1985,120
5781,Malcolm Thomas,1985,121
5782,Earl Walker,1985,122
5783,Tony Duckett,1985,123
5784,Charles Rayne,1985,124
5785,Ricky Johnson,1985,125
5786,Dan Meagher,1985,126
5787,Matt England,1985,127
5788,Chris Harper,1985,128
5789,Jim Miller,1985,129
5790,George Almones,1985,130
5791,Curtis Moore,1985,131
5792,Carlton Cooper,1985,132
5793,Vincent Giles,1985,133
5794,Sam Potter,1985,134
5795,Joe Carrabino,1985,135
5796,Daryl Lloyd,1985,136
5797,Quentin Anderson,1985,137
5798,Tony Neal,1985,138
5799,Ralph Lewis,1985,139
5800,Jeff Acres,1985,140
5801,Eric Boyd,1985,141
5802,Ken Bantum,1985,142
5803,Gary Maloncon,1985,143
5804,Michael Phelps,1985,144
5805,Alton Lee Gipson,1985,145
5806,Bob Ferry,1985,146
5807,Buzz Peterson,1985,147
5808,Georgi Glouchkov,1985,148
5809,Jeff Adkins,1985,149
5810,Keith Gray,1985,150
5811,Mike Wacker,1985,151
5812,Al Young,1985,152
5813,Mark Owen,1985,153
5814,Gary McLain,1985,154
5815,Ed Catchings,1985,155
5816,Frank James,1985,156
5817,Don Turney,1985,157
5818,Eddie Smith,1985,158
5819,Jaye Andrews,1985,159
5820,Mario Elie,1985,160
5821,Keith Cleplicki,1985,161
5822,Chris Remly,1985,162
5823,Brad Daugherty,1986,1
5824,Len Bias,1986,2
5825,Chris Washburn,1986,3
5826,Chuck Person,1986,4
5827,Kenny Walker,1986,5
5828,William Bedford,1986,6
5829,Roy Tarpley,1986,7
5830,Ron Harper,1986,8
5831,Brad Sellers,1986,9
5832,Johnny Dawkins,1986,10
5833,John Salley,1986,11
5834,John Williams,1986,12
5835,Pearl Washington,1986,13
5836,Walter Berry,1986,14
5837,Dell Curry,1986,15
5838,Maurice Martin,1986,16
5839,Harold Pressley,1986,17
5840,Mark Alarie,1986,18
5841,Billy Thompson,1986,19
5842,Buck Johnson,1986,20
5843,Anthony Jones,1986,21
5844,Scott Skiles,1986,22
5845,Ken Barlow,1986,23
5846,Arvydas Sabonis,1986,24
5847,Mark Price,1986,25
5848,Greg Dreiling,1986,26
5849,Dennis Rodman,1986,27
5850,Larry Krystkowiak,1986,28
5851,Johnny Newman,1986,29
5852,Nate McMillan,1986,30
5853,Joe Ward,1986,31
5854,Cedric Henderson,1986,32
5855,Kevin Duckworth,1986,33
5856,Johnny Rogers,1986,34
5857,Milt Wagner,1986,35
5858,Steve Mitchell,1986,36
5859,Parragiotis Fasoulas,1986,37
5860,Lemone Lampley,1986,38
5861,Rafael Addison,1986,39
5862,Augusto Binelli,1986,40
5863,Otis Smith,1986,41
5864,Ron Kellogg,1986,42
5865,Dave Feitl,1986,43
5866,David Wingate,1986,44
5867,Keith Smith,1986,45
5868,Jeff Hornacek,1986,46
5869,Michael Jackson,1986,47
5870,Forrest McKenzie,1986,48
5871,Juden Smith,1986,49
5872,Kevin Henderson,1986,50
5873,Mike Williams,1986,51
5874,Ricky Wilson,1986,52
5875,Tod Murphy,1986,53
5876,Dwayne Polee,1986,54
5877,Kenny Gattison,1986,55
5878,Keith Colbert,1986,56
5879,Bruce Douglas,1986,57
5880,Dave Henderson,1986,58
5881,Wendell Alexis,1986,59
5882,Drazen Petrovic,1986,60
5883,John Shasky,1986,61
5884,Anthony Welch,1986,62
5885,Bill Breeding,1986,63
5886,Don Redden,1986,64
5887,Dave Hoppen,1986,65
5888,Anthony Bowie,1986,66
5889,Ron Rowan,1986,67
5890,Baskerville Holmes,1986,68
5891,Andre Turner,1986,69
5892,Jim Les,1986,70
5893,Calvin Thompson,1986,71
5894,Derrick Taylor,1986,72
5895,Warren Martin,1986,73
5896,Scott Meents,1986,74
5897,Dan Bingenheimer,1986,75
5898,Michael Graham,1986,76
5899,Grant Gondrezick,1986,77
5900,John Brownlee,1986,78
5901,Carlos Briggs,1986,79
5902,Alvin Franklin,1986,80
5903,Steve Hale,1986,81
5904,Barry Mungar,1986,82
5905,David Shaffer,1986,83
5906,Marty Embry,1986,84
5907,Myron Jackson,1986,85
5908,Chauncey Robinson,1986,86
5909,Anthony Watson,1986,87
5910,Efrem Winters,1986,88
5911,Conner Henry,1986,89
5912,Wes Stallings,1986,90
5913,Bob Beecher,1986,91
5914,Dale Blaney,1986,92
5915,Tony Benford,1986,93
5916,Jerome Mincey,1986,94
5917,Richard Rellford,1986,95
5918,Ben Davis,1986,96
5919,Clinton Smith,1986,97
5920,Jimmy Gilbert,1986,98
5921,Dominic Pressley,1986,99
5922,Steffond Johnson,1986,100
5923,Greg Spurling,1986,101
5924,Earl Kelley,1986,102
5925,Keith Morrison,1986,103
5926,Paul Fortier,1986,104
5927,Archie Johnson,1986,105
5928,Jerry Adams,1986,106
5929,Kerry Boagni,1986,107
5930,Jay Bilas,1986,108
5931,Clarence Hanley,1986,109
5932,Jon Collins,1986,110
5933,Nicky Jones,1986,111
5934,Andre Banks,1986,112
5935,Kevin Holmes,1986,113
5936,Bobby Deaton,1986,114
5937,Roger Harden,1986,115
5938,Dave Colbert,1986,116
5939,Butch Wade,1986,117
5940,Jeff Hall,1986,118
5941,Gilbert Wilburn,1986,119
5942,Pete Myers,1986,120
5943,Bobby Lee Hurt,1986,121
5944,Curtis Kitchen,1986,122
5945,Jim McCaffrey,1986,123
5946,Tim Kempton,1986,124
5947,Kevin Lewis,1986,125
5948,John Flowers,1986,126
5949,Troy Webster,1986,127
5950,Lorenzo Duncan,1986,128
5951,Tony Hampton,1986,129
5952,Chuck Everson,1986,130
5953,Greg Anderson,1986,131
5954,Greg Grant,1986,132
5955,Anthony Frederick,1986,133
5956,Alexander Volkov,1986,134
5957,Robert Worthy,1986,135
5958,Andre McCloud,1986,136
5959,John Kimbrell,1986,137
5960,Walter Downing,1986,138
5961,Greg Wendt,1986,139
5962,Duane Kendall,1986,140
5963,Steve Woodside,1986,141
5964,Ralph Dalton,1986,142
5965,Steve Kenilvort,1986,143
5966,Robert Henderson,1986,144
5967,Glen McCants,1986,145
5968,Johnny Brown,1986,146
5969,Damon Goodwin,1986,147
5970,Michael Anderson,1986,148
5971,Ron Rankin,1986,149
5972,Joe Price,1986,150
5973,Jim Dolan,1986,151
5974,Randy Schiff,1986,152
5975,Mark Mitchell,1986,153
5976,Kim Cooksey,1986,154
5977,Larry Polec,1986,155
5978,Mike Marshall,1986,156
5979,Valerie Tikhonenko,1986,157
5980,Rick Olson,1986,158
5981,Dan Palombizio,1986,159
5982,Jeff Strong,1986,160
5983,Mark Coleman,1986,161
5984,Tom Ivey,1986,162
5985,David Robinson,1987,1
5986,Armen Gilliam,1987,2
5987,Dennis Hopson,1987,3
5988,Reggie Williams,1987,4
5989,Scottie Pippen,1987,5
5990,Kenny Smith,1987,6
5991,Kevin Johnson,1987,7
5992,Olden Polynice,1987,8
5993,Derrick McKey,1987,9
5994,Horace Grant,1987,10
5995,Reggie Miller,1987,11
5996,Muggsy Bogues,1987,12
5997,Joe Wolf,1987,13
5998,Tellis Frank,1987,14
5999,Jose Ortiz,1987,15
6000,Chris Welp,1987,16
6001,Ronnie Murphy,1987,17
6002,Mark Jackson,1987,18
6003,Ken Norman,1987,19
6004,Jim Farmer,1987,20
6005,Dallas Comegys,1987,21
6006,Reggie Lewis,1987,22
6007,Greg Anderson,1987,23
6008,Fred Banks,1987,24
6009,Ron Moore,1987,25
6010,Steve Alford,1987,26
6011,Nate Blackwell,1987,27
6012,Rickie Winslow,1987,28
6013,Lester Fonville,1987,29
6014,Nikita Wilson,1987,30
6015,Andre Moore,1987,31
6016,Bob McCann,1987,32
6017,Tony White,1987,33
6018,Brian Rowsom,1987,34
6019,Doug Lee,1987,35
6020,Duane Washington,1987,36
6021,Derrick Dowell,1987,37
6022,Norris Coleman,1987,38
6023,Vincent Askew,1987,39
6024,Winston Garland,1987,40
6025,Kannard Johnson,1987,41
6026,Terence Bailey,1987,42
6027,Andrew Kennedy,1987,43
6028,Terry Coner,1987,44
6029,Brad Lohaus,1987,45
6030,Bruce Dalrymple,1987,46
6031,Tim McCalister,1987,47
6032,Jamie Waller,1987,48
6033,Jerome Batiste,1987,49
6034,Phil Zevenbergen,1987,50
6035,Sven Myer,1987,51
6036,Donald Royal,1987,52
6037,Winston Crite,1987,53
6038,Tom Schafer,1987,54
6039,Tommy Amaker,1987,55
6040,John Fox,1987,56
6041,Hansi Gnad,1987,57
6042,Darryl Johnson,1987,58
6043,Danny Pearson,1987,59
6044,Sean Couch,1987,60
6045,Clarence Martin,1987,61
6046,Eric Riggins,1987,62
6047,Kevin Gamble,1987,63
6048,J. J. Weber,1987,64
6049,Eric White,1987,65
6050,Mike Richmond,1987,66
6051,Song Tao,1987,67
6052,Billy Donovan,1987,68
6053,Willie Glass,1987,69
6054,Tom Sheehey,1987,70
6055,Mike Morgan,1987,71
6056,Andrew Moten,1987,72
6057,Todd May,1987,73
6058,Joe Arlauckas,1987,74
6059,Chris Dudley,1987,75
6060,Steve Beck,1987,76
6061,David Boone,1987,77
6062,Todd Linder,1987,78
6063,Jack Haley,1987,79
6064,Carven Holcomb,1987,80
6065,Scott Thompson,1987,81
6066,Joe Niego,1987,82
6067,Benny Bolton,1987,83
6068,Reuben Holmes,1987,84
6069,Brian Rahilly,1987,85
6070,Norwood Barber,1987,86
6071,Darryl Bedford,1987,87
6072,Dave Popson,1987,88
6073,David Johnson,1987,89
6074,Theofanis Christodoulou,1987,90
6075,Darryl Kennedy,1987,91
6076,Ralph Tally,1987,92
6077,Chad Kessler,1987,93
6078,James Blackmon,1987,94
6079,Glenn Clem,1987,95
6080,Dennis Williams,1987,96
6081,Vernon Carr,1987,97
6082,Carl Lott,1987,98
6083,Brent Counts,1987,99
6084,Ron Grandison,1987,100
6085,Michael Tait,1987,101
6086,Anthony Wilson,1987,102
6087,Mike Milling,1987,103
6088,Andre LaFleur,1987,104
6089,Terry Williams,1987,105
6090,Patrick Fairs,1987,106
6091,Bart Kofoed,1987,107
6092,Frank Ross,1987,108
6093,David Moss,1987,109
6094,Brian Vaughns,1987,110
6095,Gerry Wright,1987,111
6096,Sam Hill,1987,112
6097,Jose Antonio Montero,1987,113
6098,Dave Butler,1987,114
6099,Kenny Travis,1987,115
6100,Martin Nessley,1987,116
6101,Howard Triche,1987,117
6102,Perry Bromwell,1987,118
6103,Ricky Brown,1987,119
6104,Darryl Thomas,1987,120
6105,Harold Jensen,1987,121
6106,Marcel Boyce,1987,122
6107,Kelvin Scarborough,1987,123
6108,Tom Gneiting,1987,124
6109,Doug Altenberger,1987,125
6110,Gary Graham,1987,126
6111,Sarunas Marciulionis,1987,127
6112,Dwayne Scholten,1987,128
6113,Fred Jenkins,1987,129
6114,Art Sabb,1987,130
6115,Tracy Foster,1987,131
6116,Bernard Johnson,1987,132
6117,Gay Elmore,1987,133
6118,Antoine Joubert,1987,134
6119,Quintan Gates,1987,135
6120,Riccardo Morandotti,1987,136
6121,Tim Naegeli,1987,137
6122,Frank Ford,1987,138
6123,Henry Carr,1987,139
6124,Frank Booker,1987,140
6125,Wayne Williams,1987,141
6126,Raynard Davis,1987,142
6127,Scott Adubato,1987,143
6128,Michael Foster,1987,144
6129,Roy Singleton,1987,145
6130,Rowan Gomes,1987,146
6131,Mike Giomi,1987,147
6132,Earvin Leavy,1987,148
6133,Montel Hatcher,1987,149
6134,Jamie Dixon,1987,150
6135,Clarence Grier,1987,151
6136,Ronnie Leggette,1987,152
6137,Keith Webster,1987,153
6138,Eric Semisch,1987,154
6139,Kenny Stone,1987,155
6140,Curtis Hunter,1987,156
6141,Mark Gottfried,1987,157
6142,Gerald White,1987,158
6143,Franjo Arapovic,1987,159
6144,Jerry Corcoran,1987,160
6145,Ron Vanderschaaf,1987,161
6146,Danny Manning,1988,1
6147,Rik Smits,1988,2
6148,Charles Smith,1988,3
6149,Chris Morris,1988,4
6150,Mitch Richmond,1988,5
6151,Hersey Hawkins,1988,6
6152,Tim Perry,1988,7
6153,Rex Chapman,1988,8
6154,Rony Seikaly,1988,9
6155,Willie Anderson,1988,10
6156,Will Perdue,1988,11
6157,Harvey Grant,1988,12
6158,Jeff Grayer,1988,13
6159,Dan Majerle,1988,14
6160,Gary Grant,1988,15
6161,Derrick Chievous,1988,16
6162,Eric Leckner,1988,17
6163,Ricky Berry,1988,18
6164,Rod Strickland,1988,19
6165,Kevin Edwards,1988,20
6166,Mark Bryant,1988,21
6167,Randolph Keys,1988,22
6168,Jerome Lane,1988,23
6169,Brian Shaw,1988,24
6170,David Rivers,1988,25
6171,Rolando Ferreira,1988,26
6172,Shelton Jones,1988,27
6173,Andrew Lang,1988,28
6174,Vinny Del Negro,1988,29
6175,Fennis Dembo,1988,30
6176,Everette Stephens,1988,31
6177,Charles Shackleford,1988,32
6178,Grant Long,1988,33
6179,Tom Tolbert,1988,34
6180,Sylvester Gray,1988,35
6181,Ledell Eackles,1988,36
6182,Greg Butler,1988,37
6183,Dean Garrett,1988,38
6184,Tito Horford,1988,39
6185,Orlando Graham,1988,40
6186,Keith Smart,1988,41
6187,Jeff Moe,1988,42
6188,Todd Mitchell,1988,43
6189,Anthony Taylor,1988,44
6190,Tom Garrick,1988,45
6191,Morlon Wiley,1988,46
6192,Vernon Maxwell,1988,47
6193,Micheal Williams,1988,48
6194,Jose Vargas,1988,49
6195,Steve Kerr,1988,50
6196,Rob Lock,1988,51
6197,Derrick Hamilton,1988,52
6198,Anthony Mason,1988,53
6199,Jorge Gonzalez,1988,54
6200,Rodney Johns,1988,55
6201,Barry Sumpter,1988,56
6202,Herman Montenegro,1988,57
6203,Jeff Moore,1988,58
6204,Nate Johnston,1988,59
6205,Ed Davender,1988,60
6206,Herbert Crook,1988,61
6207,Derrick Lewis,1988,62
6208,Mike Jones,1988,63
6209,Winston Bennett,1988,64
6210,Corey Gaines,1988,65
6211,Dwight Boyd,1988,66
6212,Ricky Grace,1988,67
6213,Darryl Middleton,1988,68
6214,Phil Stinnie,1988,69
6215,Jerry Johnson,1988,70
6216,Craig Neal,1988,71
6217,Lee Johnson,1988,72
6218,Michael Anderson,1988,73
6219,Gerald Paddio,1988,74
6220,Archie Marshall,1988,75
6221,Pervis Ellison,1989,1
6222,Danny Ferry,1989,2
6223,Sean Elliott,1989,3
6224,Glen Rice,1989,4
6225,J.R. Reid,1989,5
6226,Stacey King,1989,6
6227,George McCloud,1989,7
6228,Randy White,1989,8
6229,Tom Hammonds,1989,9
6230,Pooh Richardson,1989,10
6231,Nick Anderson,1989,11
6232,Mookie Blaylock,1989,12
6233,Michael Smith,1989,13
6234,Tim Hardaway,1989,14
6235,Todd Lichti,1989,15
6236,Dana Barros,1989,16
6237,Shawn Kemp,1989,17
6238,B.J. Armstrong,1989,18
6239,Kenny Payne,1989,19
6240,Jeff Sanders,1989,20
6241,Blue Edwards,1989,21
6242,Byron Irvin,1989,22
6243,Roy Marble,1989,23
6244,Anthony Cook,1989,24
6245,John Morton,1989,25
6246,Vlade Divac,1989,26
6247,Kenny Battle,1989,27
6248,Sherman Douglas,1989,28
6249,Dyron Nix,1989,29
6250,Frank Kornet,1989,30
6251,Jeff Martin,1989,31
6252,Stanley Brundy,1989,32
6253,Jay Edwards,1989,33
6254,Gary Leonard,1989,34
6255,Pat Durham,1989,35
6256,Clifford Robinson,1989,36
6257,Michael Ansley,1989,37
6258,Doug West,1989,38
6259,Ed Horton,1989,39
6260,Dino Radja,1989,40
6261,Doug Roth,1989,41
6262,Michael Cutright,1989,42
6263,Chucky Brown,1989,43
6264,Reggie Cross,1989,44
6265,Scott Haffner,1989,45
6266,Ricky Blanton,1989,46
6267,Reggie Turner,1989,47
6268,Junie Lewis,1989,48
6269,Haywoode Workman,1989,49
6270,Brian Quinnett,1989,50
6271,Mike Morrison,1989,51
6272,Greg Grant,1989,52
6273,Jeff Hodge,1989,53
