,Player,Year,Pick
4718,Keith Valentine,1980,174
4719,Jim Conolly,1980,175
4720,Al Dutch,1980,176
4721,Martin Lemelle,1980,177
4722,Melvin Hooker,1980,178
4723,Steve Wright,1980,179
4724,Terry Dupris,1980,180
4725,Paul Renfro,1980,181
4726,Billy Reid,1980,182
4727,Jay Shidler,1980,183
4728,Jim Graziano,1980,184
4729,Barry Young,1980,185
4730,Scott Rogers,1980,186
4731,Melvin Crafter,1980,187
4732,Rich Boucher,1980,188
4733,Ken Williams,1980,189
4734,Don Wiley,1980,190
4735,Clinton Wyatt,1980,191
4736,Al Williams,1980,192
4737,Charley Cole,1980,193
4738,Del Yarbrough,1980,194
4739,Stanley Lamb,1980,195
4740,Keith French,1980,196
4741,Jim Tillman,1980,197
4742,Luke Griffin,1980,198
4743,Brian Jung,1980,199
4744,Tim Higgins,1980,200
4745,Leroy Coleman,1980,201
4746,Earl Sango,1980,202
4747,Billy Foster,1980,203
4748,John Bates,1980,204
4749,Dave Kufeld,1980,205
4750,Tom Morgan,1980,206
4751,Don Youman,1980,207
4752,Gerald Ross,1980,208
4753,Steve Schall,1980,209
4754,Melvin Crayton,1980,210
4755,Randy Carroll,1980,211
4756,Kent Williams,1980,212
4757,Joe Hand,1980,213
4758,John Nolan,1980,214
4759,Mark Aguirre,1981,1
4760,Isiah Thomas,1981,2
4761,Buck Williams,1981,3
4762,Al Wood,1981,4
4763,Danny Vranes,1981,5
4764,Orlando Woolridge,1981,6
4765,Steve Johnson,1981,7
4766,Tom Chambers,1981,8
4767,Rolando Blackman,1981,9
4768,Albert King,1981,10
4769,Frank Johnson,1981,11
4770,Kelly Tripucka,1981,12
4771,Danny Schayes,1981,13
4772,Herb Williams,1981,14
4773,Jeff Lamp,1981,15
4774,Darnell Valentine,1981,16
4775,Kevin Loder,1981,17
4776,Ray Tolbert,1981,18
4777,Mike McGee,1981,19
4778,Larry Nance,1981,20
4779,Alton Lister,1981,21
4780,Franklin Edwards,1981,22
4781,Charles Bradley,1981,23
4782,Jay Vincent,1981,24
4783,Tracy Jackson,1981,25
4784,Brian Jackson,1981,26
4785,Howard Wood,1981,27
4786,Gene Banks,1981,28
4787,Eddie Johnson,1981,29
4788,Ed Rains,1981,30
4789,Danny Ainge,1981,31
4790,Mike Olliver,1981,32
4791,Sam Williams,1981,33
4792,Ken Green,1981,34
4793,Charles Davis,1981,35
4794,Ray Blume,1981,36
4795,Al Leslie,1981,37
4796,Clyde Bradshaw,1981,38
4797,Harvey Knuckles,1981,39
4798,Greg Cook,1981,40
4799,Claude Gregory,1981,41
4800,Elvis Rolle,1981,42
4801,Elston Turner,1981,43
4802,Steve Lingenfelter,1981,44
4803,Ed Turner,1981,45
4804,Vernon Smith,1981,46
4805,Art Housey,1981,47
4806,Mike Ferrara,1981,48
4807,David Burns,1981,49
4808,Derek Holcomb,1981,50
4809,Zam Fredrick,1981,51
4810,Rudy Macklin,1981,52
4811,Mark Radford,1981,53
4812,Jim Smith,1981,54
4813,Mickey Dillard,1981,55
4814,Carlton Neverson,1981,56
4815,Frank Brickowski,1981,57
4816,Curtis Berry,1981,58
4817,Russell Bowers,1981,59
4818,Purvis Miller,1981,60
4819,Petur Gudmundsson,1981,61
4820,Sam Clancy,1981,62
4821,Wayne McKoy,1981,63
4822,Tom Baker,1981,64
4823,Ron Cornelius,1981,65
4824,Craig Dykema,1981,66
4825,Mark Smith,1981,67
4826,Ernest Graham,1981,68
4827,John Johnson,1981,69
4828,Eddie Moss,1981,70
4829,John May,1981,71
4830,Edmund Sherod,1981,72
4831,George Torres,1981,73
4832,Ethan Martin,1981,74
4833,Kevin Figaro,1981,75
4834,Lewis Lloyd,1981,76
4835,Lee Raker,1981,77
4836,Kenny Dennard,1981,78
4837,Ron Davis,1981,79
4838,Terry Adolph,1981,80
4839,Larry Spriggs,1981,81
4840,B. B. Davis,1981,82
4841,Rolando Frazier,1981,83
4842,Oliver Lee,1981,84
4843,Pete Verhoeven,1981,85
4844,Alex Bradley,1981,86
4845,Earl Belcher,1981,87
4846,Kevin McKenna,1981,88
4847,Don Koonce,1981,89
4848,Kris Anderson,1981,90
4849,Stanley Williams,1981,91
4850,Rynn Wright,1981,92
4851,Pete Budko,1981,93
4852,George DeVone,1981,94
4853,Joe Cooper,1981,95
4854,Ken Page,1981,96
4855,Mike Clark,1981,97
4856,Steve Krafscisin,1981,98
4857,Andra Griffin,1981,99
4858,Dennis Isbell,1981,100
4859,Willie Sims,1981,101
4860,Hank McDowell,1981,102
4861,Garry Witts,1981,103
4862,U. S. Reed,1981,104
4863,Hasan Houston,1981,105
